CMA_name,CT_ID_NUM,GEO_ID,Population
Toronto,5350346.01,5350346.01,4888.00
Toronto,5350346.02,5350346.02,5095.00
Toronto,5350347,5350347,2610.00
Toronto,5350348,5350348,5137.00
Toronto,5350349,5350349,5644.00
Toronto,5350350,5350350,5412.00
Toronto,5350351.01,5350351.01,5284.00
Toronto,5350351.02,5350351.02,2712.00
Toronto,5350352,5350352,5387.00
Toronto,5350353.02,5350353.02,5263.00
Toronto,5350353.03,5350353.03,3189.00
Toronto,5350353.04,5350353.04,4461.00
Toronto,5350354,5350354,5086.00
Toronto,5350355.02,5350355.02,5374.00
Toronto,5350355.03,5350355.03,4550.00
Toronto,5350355.04,5350355.04,5255.00
Toronto,5350356,5350356,4610.00
Toronto,5350357.01,5350357.01,7266.00
Toronto,5350357.02,5350357.02,4890.00
Toronto,5350358.01,5350358.01,3460.00
Toronto,5350358.02,5350358.02,4590.00
Toronto,5350358.03,5350358.03,5565.00
Toronto,5350359,5350359,7058.00
Toronto,5350360,5350360,5874.00
Toronto,5350361.01,5350361.01,5869.00
Toronto,5350361.02,5350361.02,7224.00
Toronto,5350362.01,5350362.01,6279.00
Toronto,5350362.02,5350362.02,5902.00
Toronto,5350362.03,5350362.03,7195.00
Toronto,5350362.04,5350362.04,4996.00
Toronto,5350363.02,5350363.02,3233.00
Toronto,5350363.04,5350363.04,3624.00
Toronto,5350363.05,5350363.05,4721.00
Toronto,5350363.06,5350363.06,6658.00
Toronto,5350363.07,5350363.07,5566.00
Toronto,5350364.01,5350364.01,6009.00
Toronto,5350364.02,5350364.02,2942.00
Toronto,5350365,5350365,6772.00
Toronto,5350366,5350366,6130.00
Toronto,5350367.01,5350367.01,4896.00
Toronto,5350367.02,5350367.02,3620.00
Toronto,5350368.01,5350368.01,5516.00
Toronto,5350368.02,5350368.02,4308.00
Toronto,5350369,5350369,7703.00
Toronto,5350370.01,5350370.01,10205.00
Toronto,5350370.02,5350370.02,4975.00
Toronto,5350370.03,5350370.03,3796.00
Toronto,5350371,5350371,6999.00
Toronto,5350372,5350372,4364.00
Toronto,5350373,5350373,4599.00
Toronto,5350374.01,5350374.01,4844.00
Toronto,5350374.02,5350374.02,3265.00
Toronto,5350374.03,5350374.03,4247.00
Toronto,5350375.01,5350375.01,6131.00
Toronto,5350375.02,5350375.02,1950.00
Toronto,5350375.03,5350375.03,5412.00
Toronto,5350375.04,5350375.04,5477.00
Toronto,5350375.05,5350375.05,7320.00
Toronto,5350376.01,5350376.01,5248.00
Toronto,5350376.02,5350376.02,5278.00
Toronto,5350376.04,5350376.04,5256.00
Toronto,5350376.05,5350376.05,7132.00
Toronto,5350376.06,5350376.06,515.00
Toronto,5350376.08,5350376.08,6378.00
Toronto,5350376.09,5350376.09,4865.00
Toronto,5350376.11,5350376.11,3627.00
Toronto,5350376.12,5350376.12,5460.00
Toronto,5350376.13,5350376.13,3976.00
Toronto,5350376.14,5350376.14,3788.00
Toronto,5350376.15,5350376.15,3943.00
Toronto,5350376.16,5350376.16,3737.00
Toronto,5350377.01,5350377.01,6650.00
Toronto,5350377.02,5350377.02,4683.00
Toronto,5350377.03,5350377.03,2866.00
Toronto,5350377.04,5350377.04,6114.00
Toronto,5350377.06,5350377.06,3856.00
Toronto,5350377.07,5350377.07,5162.00
Toronto,5350378.02,5350378.02,3374.00
Toronto,5350378.03,5350378.03,7593.00
Toronto,5350378.04,5350378.04,6109.00
Toronto,5350378.05,5350378.05,4028.00
Toronto,5350378.06,5350378.06,6252.00
Toronto,5350378.07,5350378.07,7281.00
Toronto,5350378.08,5350378.08,6571.00
Toronto,5350378.11,5350378.11,5874.00
Toronto,5350378.12,5350378.12,5293.00
Toronto,5350378.14,5350378.14,4074.00
Toronto,5350378.16,5350378.16,6438.00
Toronto,5350378.17,5350378.17,3499.00
Toronto,5350378.18,5350378.18,2881.00
Toronto,5350378.19,5350378.19,5223.00
Toronto,5350378.2,5350378.2,2263.00
Toronto,5350378.21,5350378.21,3627.00
Toronto,5350378.22,5350378.22,3640.00
Toronto,5350378.23,5350378.23,4248.00
Toronto,5350378.24,5350378.24,6406.00
Toronto,5350378.25,5350378.25,7558.00
Toronto,5350378.26,5350378.26,4675.00
Toronto,5350378.27,5350378.27,5627.00
Toronto,5350378.28,5350378.28,7451.00
Toronto,5350400.02,5350400.02,6261.00
Toronto,5350400.03,5350400.03,3032.00
Toronto,5350400.04,5350400.04,2026.00
Toronto,5350400.06,5350400.06,3075.00
Toronto,5350400.07,5350400.07,3397.00
Toronto,5350400.08,5350400.08,2771.00
Toronto,5350400.11,5350400.11,6472.00
Toronto,5350400.12,5350400.12,7219.00
Toronto,5350400.13,5350400.13,6233.00
Toronto,5350400.14,5350400.14,6328.00
Toronto,5350400.15,5350400.15,4739.00
Toronto,5350400.16,5350400.16,5586.00
Toronto,5350400.17,5350400.17,4825.00
Toronto,5350400.18,5350400.18,2604.00
Toronto,5350400.19,5350400.19,7253.00
Toronto,5350400.2,5350400.2,2668.00
Toronto,5350400.21,5350400.21,2047.00
Toronto,5350400.22,5350400.22,8586.00
Toronto,5350400.23,5350400.23,8626.00
Toronto,5350401.04,5350401.04,3605.00
Toronto,5350401.05,5350401.05,2164.00
Toronto,5350401.06,5350401.06,5246.00
Toronto,5350401.07,5350401.07,4374.00
Toronto,5350401.08,5350401.08,3489.00
Toronto,5350401.09,5350401.09,8906.00
Toronto,5350401.1,5350401.1,5084.00
Toronto,5350401.11,5350401.11,7061.00
Toronto,5350401.13,5350401.13,6434.00
Toronto,5350401.14,5350401.14,8267.00
Toronto,5350401.15,5350401.15,2819.00
Toronto,5350401.17,5350401.17,3723.00
Toronto,5350401.18,5350401.18,3452.00
Toronto,5350401.19,5350401.19,6842.00
Toronto,5350401.2,5350401.2,4846.00
Toronto,5350401.21,5350401.21,3141.00
Toronto,5350401.22,5350401.22,7854.00
Toronto,5350401.23,5350401.23,2096.00
Toronto,5350402.01,5350402.01,2586.00
Toronto,5350402.02,5350402.02,3350.00
Toronto,5350402.03,5350402.03,3130.00
Toronto,5350402.04,5350402.04,5231.00
Toronto,5350402.05,5350402.05,2137.00
Toronto,5350402.06,5350402.06,5840.00
Toronto,5350402.07,5350402.07,2130.00
Toronto,5350402.08,5350402.08,6446.00
Toronto,5350402.09,5350402.09,3744.00
Toronto,5350402.1,5350402.1,3725.00
Toronto,5350402.12,5350402.12,4464.00
